rep,delta_auroc,delta_auprc,delta_logloss_plus_risk_minus_quality
958,0.02750678736649248,0.07167235654300985,-0.03183447498736519
959,0.03022603519316225,0.07559165258098266,-0.034272489743282564
960,0.0248448335127176,0.06680165296168805,-0.02929310320276529
961,0.032295483588559604,0.07735153802397154,-0.035621968612773725
962,0.02702461222834851,0.07123221597741303,-0.03038646188465227
963,0.02657500811752711,0.07392652369165231,-0.02971098372251446
964,0.026074988204112137,0.07211550358372987,-0.030238728232838796
965,0.03172607659787141,0.07482191715313657,-0.033094889200035504
966,0.029091458452551677,0.06954215580058809,-0.030848881133948014
967,0.030366929697916878,0.07520498065781822,-0.0317326124973189
968,0.028919952435429774,0.07105836624274953,-0.03189703534661331
969,0.03077419160248973,0.07194348323772493,-0.03510277728087002
970,0.031849646331375214,0.07583215672358201,-0.03460082381242924
971,0.03068306368465812,0.08024993268345049,-0.03441020791154631
972,0.026080743105709847,0.0666411179495956,-0.03031909238025421
973,0.030262844616593898,0.07746951839859817,-0.03342650012744125
974,0.027210851503304267,0.0670729997224061,-0.031027861521776223
975,0.023056256788403284,0.06267103337190305,-0.026056787864753406
976,0.028729396998352308,0.07179758524192503,-0.030151733020924887
977,0.024931966142095807,0.06609970301341284,-0.027815211860446665
978,0.02768491255531913,0.06766532112123413,-0.031182913010994184
979,0.02311953347682938,0.061775187980674384,-0.028171641860003205
980,0.030788993515712293,0.07475201926928043,-0.033990476805430714
981,0.02677403204272344,0.06747444713832718,-0.03274578733768396
982,0.02804177926764273,0.06772661644174649,-0.032113317537122266
983,0.025499069738429414,0.06693097715704044,-0.02654003667976179
984,0.030739540496222628,0.07722674256230966,-0.035109936450988755
985,0.029924783781724695,0.07361894694881221,-0.03476206247130231
986,0.02696725018575019,0.07408711453028327,-0.030125893800465542
987,0.028993748857386814,0.07718331907683984,-0.03283563728171196
988,0.032024403489245956,0.07939122080454741,-0.0349685740332385
989,0.02428813842417421,0.07141893026612967,-0.027821522700399726
990,0.02761967290664813,0.06977682514237171,-0.031194085135668737
991,0.03189891692447944,0.07406663315073425,-0.034901753193774976
992,0.03567579972883439,0.08325908247950142,-0.03789288159213933
993,0.03289089620909247,0.0787958773613755,-0.03675197246893874
994,0.028499760877336966,0.07268121225620017,-0.03305529969382154
995,0.030999525971254438,0.07669214491664733,-0.03687345400214842
996,0.03287833630301806,0.07931765045116212,-0.03688505362297295
997,0.02538307803214024,0.0671113942965974,-0.029503310910993452
998,0.023212245629650186,0.06194750464298404,-0.027588410026003374
999,0.023034236037617117,0.07076893458794009,-0.026704575190149515
1000,0.029090472400943534,0.07127025573973444,-0.03434191695224165
1001,0.033076242744070616,0.07475897918489183,-0.037754982066677045
1002,0.02593400680204916,0.07404614161475942,-0.02975506165270142
1003,0.03129809140020767,0.07691011987216634,-0.034883420041217195
1004,0.03320355381249074,0.07759839766005461,-0.03436151617319427
1005,0.027214860983111766,0.06767674709203586,-0.0309245680496974
1006,0.0286590804938881,0.07380155222914953,-0.03242573652342717
1007,0.03324887220502004,0.0822817934841843,-0.036758838592711285
1008,0.02787045470056515,0.06854764994556439,-0.031006989134383878
1009,0.03031490941338555,0.06779891580534203,-0.03476117360225972
1010,0.02975103188070205,0.07933262825578002,-0.03346924792967576
1011,0.02521401539037149,0.06332792351695216,-0.029304625097090642
1012,0.03353159002420769,0.0747120471834567,-0.03739610576505786
1013,0.03150233964139315,0.08025784525683854,-0.03493184577635067
1014,0.02745078844172355,0.06468270274438936,-0.03175597980198175
1015,0.03258551753532157,0.07642799523708455,-0.0362943442029377
1016,0.026680296803788472,0.07176650381338934,-0.031950990833165716
1017,0.029904994878326208,0.06511809535814272,-0.0340357680528513
1018,0.026598570986713588,0.07302100515613685,-0.027938296533332185
1019,0.03167380386045393,0.07336314606161687,-0.03584105138599847
1020,0.02849067354563717,0.06979517529322665,-0.033625788841415594
1021,0.0297134113638996,0.07228718614750695,-0.03229903925993205
1022,0.03233421384051749,0.07370247927418183,-0.035078610781401454
1023,0.028416618598304133,0.07799512458808966,-0.03125949627379254
1024,0.03385904383887384,0.07581825679167287,-0.03687699409294881
1025,0.02454089066942977,0.06702733722008125,-0.02683125055343749
1026,0.02967953207374352,0.07519286772150147,-0.03210140049103849
1027,0.023369831112473927,0.06471134252446775,-0.028700825558435616
1028,0.022146777870437395,0.06449655823268008,-0.02671207538831616
1029,0.031198610904912938,0.07158665176362355,-0.03485183504658501
1030,0.018528556875752722,0.0550188619680525,-0.020551549645529632
1031,0.024356177689857095,0.06647114043478719,-0.029584801804941885
1032,0.026995537800325486,0.06781866193998298,-0.029238210785578922
1033,0.025343825653247554,0.07011975601318843,-0.027335076363760757
1034,0.025382170977153673,0.06384767337759223,-0.026710244682467355
1035,0.029721270544509903,0.0730401874687614,-0.032304427118422296
1036,0.02700218137366961,0.07103768411063649,-0.03167178545055532
1037,0.02664799192402245,0.06829159314812505,-0.029509429692093636
1038,0.029208161317074932,0.07141315000534909,-0.03166915140849763
1039,0.02603041679760998,0.06807778024129196,-0.030386266311424714
1040,0.02649226346350475,0.06587556564664099,-0.030976473346388367
1041,0.02620966198052599,0.06979539436076387,-0.029985626521061237
1042,0.02774475424048073,0.07159006317683825,-0.030632126211648347
