target_family,comparison,metric,bootstrap_mean_delta,ci95_low,ci95_high,inference
SegFormer-B0,COND_vs_FG,FPR,0.0023699151811634707,-0.008188264969931561,0.012695897475517972,NO_95CI_DIFFERENCE
SegFormer-B0,COND_vs_FG,PPV1pct,-6.20071972752399e-05,-0.0002867772962778818,0.0001658588510347314,NO_95CI_DIFFERENCE
SegFormer-B0,COND_vs_FG,OracleR90FPR,-0.006372704649095183,-0.025708418835307563,0.01657458867654516,NO_95CI_DIFFERENCE
DeepLabV3-R50,COND_vs_BG,AUROC,0.09275655897408973,0.0717063966144492,0.11292267468635042,A_BETTER
DeepLabV3-R50,COND_vs_BG,AUPRC,0.17944041477772854,0.14373201195489826,0.2156680823270117,A_BETTER
DeepLabV3-R50,COND_vs_BG,Recall,-0.00582408468758713,-0.021358238605010606,0.009395826263162795,NO_95CI_DIFFERENCE
DeepLabV3-R50,COND_vs_BG,FPR,-0.11054670628403117,-0.14069770429503556,-0.07850498155049448,A_BETTER
DeepLabV3-R50,COND_vs_BG,PPV1pct,0.0029746016801833535,0.002062970086082863,0.0039255552023215595,A_BETTER
DeepLabV3-R50,COND_vs_BG,OracleR90FPR,-0.08336799657640294,-0.13043661224597589,-0.036541298601465516,A_BETTER
PraNet,COND_vs_BG,AUROC,0.13646944406564784,0.11343017306351257,0.160716193738274,A_BETTER
PraNet,COND_vs_BG,AUPRC,0.17433194205005673,0.14732346809899446,0.20259988462998005,A_BETTER
PraNet,COND_vs_BG,Recall,-0.020908650107878627,-0.044341370318031516,0.0008320274305374237,NO_95CI_DIFFERENCE
PraNet,COND_vs_BG,FPR,-0.20783309175695214,-0.2480986107798506,-0.169653317685294,A_BETTER
PraNet,COND_vs_BG,PPV1pct,0.011751114445604458,0.009075717603217173,0.014910129506945867,A_BETTER
PraNet,COND_vs_BG,OracleR90FPR,-0.16897457804176674,-0.22090106931877662,-0.1150853603950746,A_BETTER
SegFormer-B0,COND_vs_BG,AUROC,0.059592054805405456,0.04229360213084137,0.0773081238097626,A_BETTER
SegFormer-B0,COND_vs_BG,AUPRC,0.07877881137753934,0.038026125341607715,0.12033582982963043,A_BETTER
SegFormer-B0,COND_vs_BG,Recall,0.007163678032110272,-0.01073106806944496,0.025718828263826005,NO_95CI_DIFFERENCE
SegFormer-B0,COND_vs_BG,FPR,-0.03655078657606697,-0.05958159992598226,-0.014028400785784885,A_BETTER
SegFormer-B0,COND_vs_BG,PPV1pct,0.0008774144560535717,0.0004088747746181601,0.0013843504207008428,A_BETTER
SegFormer-B0,COND_vs_BG,OracleR90FPR,-0.0675812023612095,-0.1110837829579766,-0.02592132696273296,A_BETTER
DeepLabV3-R50,FINAL_vs_M2,AUROC,0.0308657480803027,0.015496689775548364,0.04601724699332693,A_BETTER
DeepLabV3-R50,FINAL_vs_M2,AUPRC,0.0727916318703708,0.037361518829326215,0.10844255757150753,A_BETTER
DeepLabV3-R50,FINAL_vs_M2,Recall,0.016326349689077722,-0.0015540407250728414,0.033908946563362456,NO_95CI_DIFFERENCE
DeepLabV3-R50,FINAL_vs_M2,FPR,-0.11045743670372958,-0.14548503869955992,-0.07633916273120822,A_BETTER
DeepLabV3-R50,FINAL_vs_M2,PPV1pct,0.0033778761500510074,0.0023767069503495375,0.004428987314435137,A_BETTER
DeepLabV3-R50,FINAL_vs_M2,OracleR90FPR,-0.152522495771869,-0.21959635682669387,-0.07535132227026599,A_BETTER
PraNet,FINAL_vs_M2,AUROC,0.017212918293473444,-0.00036535709388282314,0.03467138978083196,NO_95CI_DIFFERENCE
PraNet,FINAL_vs_M2,AUPRC,0.03398794959056508,0.014857781655966976,0.05297647544265879,A_BETTER
PraNet,FINAL_vs_M2,Recall,-0.07491960414260611,-0.10006037712867988,-0.050614606360178144,A_WORSE
PraNet,FINAL_vs_M2,FPR,-0.19619512792770014,-0.24188241341276667,-0.14988101027217,A_BETTER
PraNet,FINAL_vs_M2,PPV1pct,0.010419579399997426,0.007186396129620782,0.014123276645199346,A_BETTER
PraNet,FINAL_vs_M2,OracleR90FPR,-0.049382052061386975,-0.11270772583618208,0.01876007540118242,NO_95CI_DIFFERENCE
SegFormer-B0,FINAL_vs_M2,AUROC,0.013689319236943567,-0.004023610689755533,0.030600042567982485,NO_95CI_DIFFERENCE
SegFormer-B0,FINAL_vs_M2,AUPRC,0.04996796472596719,0.00686031767952989,0.09351114925126096,A_BETTER
SegFormer-B0,FINAL_vs_M2,Recall,0.04961438090817262,0.028873471726948506,0.07374466212126993,A_BETTER
SegFormer-B0,FINAL_vs_M2,FPR,0.055339652991533574,0.024657296411620948,0.0865710035394322,A_WORSE
SegFormer-B0,FINAL_vs_M2,PPV1pct,-0.0005299565959599968,-0.001295925463646359,0.00019962945571086853,NO_95CI_DIFFERENCE
SegFormer-B0,FINAL_vs_M2,OracleR90FPR,-0.084371739097888,-0.1632966740643908,-0.0045467036709219855,A_BETTER
DeepLabV3-R50,FINAL_vs_M2_FG,AUROC,-0.001789385834935592,-0.005052355608275491,0.001565350227561138,NO_95CI_DIFFERENCE
DeepLabV3-R50,FINAL_vs_M2_FG,AUPRC,0.001441467584514384,-0.006429115973670368,0.009608641907853625,NO_95CI_DIFFERENCE
DeepLabV3-R50,FINAL_vs_M2_FG,Recall,-0.0012356153144579363,-0.007014384380873678,0.0044978005865101665,NO_95CI_DIFFERENCE
DeepLabV3-R50,FINAL_vs_M2_FG,FPR,0.0028117477693598244,-0.0064559937743863096,0.011587583888441111,NO_95CI_DIFFERENCE
DeepLabV3-R50,FINAL_vs_M2_FG,PPV1pct,-0.00012361699149179722,-0.0004083707772598713,0.00019196866077995608,NO_95CI_DIFFERENCE
DeepLabV3-R50,FINAL_vs_M2_FG,OracleR90FPR,0.0014080806218880406,-0.015095530027974521,0.01879141246796883,NO_95CI_DIFFERENCE
PraNet,FINAL_vs_M2_FG,AUROC,8.574953153919873e-05,-0.0034598333910416416,0.003659190853439969,NO_95CI_DIFFERENCE
PraNet,FINAL_vs_M2_FG,AUPRC,0.0011823291427662892,-0.0023660161843810255,0.0048720528911682685,NO_95CI_DIFFERENCE
PraNet,FINAL_vs_M2_FG,Recall,0.009605581618249261,0.0018652189940015912,0.017178281752495576,A_BETTER
PraNet,FINAL_vs_M2_FG,FPR,0.0030383610871662055,-0.009260815301783614,0.015279176683621486,NO_95CI_DIFFERENCE
