rep,safetta_pooled_auroc,safetta_pooled_auprc,safetta_macro3_auroc,safetta_macro3_auprc,sictta_ccd_pooled_auroc,sictta_ccd_pooled_auprc,sictta_ccd_macro3_auroc,sictta_ccd_macro3_auprc,tegda_adic_pooled_auroc,tegda_adic_pooled_auprc,tegda_adic_macro3_auroc,tegda_adic_macro3_auprc,mc_dropout_pooled_auroc,mc_dropout_pooled_auprc,mc_dropout_macro3_auroc,mc_dropout_macro3_auprc,delta_safetta_minus_sictta_ccd_pooled_auroc,delta_safetta_minus_sictta_ccd_pooled_auprc,delta_safetta_minus_sictta_ccd_macro3_auroc,delta_safetta_minus_sictta_ccd_macro3_auprc,delta_safetta_minus_tegda_adic_pooled_auroc,delta_safetta_minus_tegda_adic_pooled_auprc,delta_safetta_minus_tegda_adic_macro3_auroc,delta_safetta_minus_tegda_adic_macro3_auprc,delta_safetta_minus_mc_dropout_pooled_auroc,delta_safetta_minus_mc_dropout_pooled_auprc,delta_safetta_minus_mc_dropout_macro3_auroc,delta_safetta_minus_mc_dropout_macro3_auprc
1809,0.5834810690282961,0.4584318249204091,0.5834996676709175,0.4605996888697131,0.6497190109410881,0.4930824796019512,0.6501684645729563,0.49319174832353174,0.5753327227817016,0.3739162667200009,0.5753310467344991,0.37623357330575286,0.43552707182896105,0.3143026554254573,0.43506102368623073,0.3173874072558226,-0.06623794191279198,-0.03465065468154205,-0.06666879690203875,-0.032592059453818656,0.008148346246594551,0.08451555820040824,0.008168620936418458,0.08436611556396023,0.14795399719933505,0.1441291694949518,0.1484386439846868,0.1432122816138905
1810,0.6092822096056257,0.4887674638724985,0.6091237862208724,0.49125272156345284,0.6521149068329639,0.48558366312482626,0.6519770866745281,0.48432568945548643,0.608654393033112,0.39827044923674604,0.6087365821694388,0.40050308667248746,0.43638043218905714,0.3248697810869929,0.4360928652702465,0.32764503066294287,-0.04283269722733818,0.0031838007476722163,-0.04285330045365576,0.006927032107966413,0.0006278165725137619,0.09049701463575244,0.00038720405143355396,0.09074963489096538,0.1729017774165686,0.1638976827855056,0.1730309209506259,0.16360769090050997
1811,0.6175580877038858,0.49727456761963124,0.6181599993497612,0.49913260280790905,0.6478594426869431,0.4730216251540711,0.6478010122252754,0.47278860135204415,0.5870208765195415,0.37321680215761843,0.5877147904809018,0.3764233242293184,0.4228062127552765,0.30155373120455814,0.4231084902110178,0.3037294082750492,-0.030301354983057305,0.024252942465560146,-0.02964101287551424,0.026344001455864907,0.03053721118434427,0.1240577654620128,0.030445208868859375,0.12270927857859065,0.19475187494860924,0.1957208364150731,0.19505150913874336,0.19540319453285987
1812,0.6198382542131308,0.49182455294429267,0.6197792015709654,0.49312176570479266,0.6255629874393452,0.45412902789757825,0.6259793687936734,0.4541156204922558,0.6126017583848908,0.4007641876208421,0.612890815606452,0.4040076991691414,0.4654509931618366,0.3426030587476731,0.4652914793783686,0.3446086134510056,-0.0057247332262144734,0.03769552504671442,-0.006200167222707997,0.03900614521253687,0.0072364958282399305,0.09106036532345058,0.006888385964513466,0.08911406653565124,0.1543872610512942,0.14922149419661956,0.15448772219259682,0.14851315225378708
1813,0.6304912300441852,0.5004962002384558,0.6305300838207757,0.5016853349647556,0.6464380304059756,0.45062471234158546,0.6466214920202348,0.4528470444853849,0.6078013225257818,0.38728726523483953,0.6083458960056496,0.3908498358710249,0.440859814863701,0.31003315421681593,0.4409421241341224,0.31425714515630593,-0.015946800361790414,0.04987148789687029,-0.01609140819945909,0.04883829047937077,0.022689907518403385,0.11320893500361623,0.0221841878151261,0.11083549909373075,0.18963141518048415,0.19046304602163983,0.18958795968665326,0.18742818980844972
1814,0.6350588825517534,0.5121721368758217,0.6351712014135704,0.514388913315102,0.629925692684129,0.44023826634776986,0.6303303417313777,0.43953906014483896,0.617695240987185,0.38185101625601814,0.617257820196236,0.3837802333143456,0.4508040240811153,0.31943141959780846,0.4509238500395069,0.32074639666534044,0.005133189867624344,0.07193387052805189,0.004840859682192722,0.07484985317026299,0.017363641564568377,0.1303211206198036,0.017913381217334434,0.13060868000075637,0.18425485847063805,0.19274071727801328,0.1842473513740635,0.1936425166497615
1815,0.6345888864665483,0.506114813555778,0.634214952324489,0.5072389731682636,0.6290651715990072,0.45777309360980456,0.6294490326354991,0.4574096472665132,0.6260936885385623,0.41954422911684636,0.6259958257085702,0.4231250327666833,0.45470780947270084,0.336947394862499,0.4540971877980428,0.34032321729542137,0.005523714867541107,0.04834171994597347,0.0047659196889898725,0.04982932590175043,0.008495197927986031,0.08657058443893167,0.008219126615918837,0.08411394040158032,0.17988107699384748,0.16916741869327906,0.18011776452644618,0.16691575587284224
1816,0.6163251689699192,0.5128260710787751,0.6162221093132308,0.5138310687593179,0.6422722680113386,0.4758779134627305,0.6424590412969975,0.47542988161875904,0.6110019892822,0.4060516328796686,0.6106429126717295,0.40832890626564916,0.43636338121842044,0.3281493969471562,0.4364089172789892,0.33054200275869383,-0.025947099041419452,0.036948157616044586,-0.026236931983766643,0.0384011871405589,0.005323179687719226,0.10677443819910648,0.005579196641501305,0.10550216249366878,0.17996178775149874,0.18467667413161887,0.17981319203424168,0.1832890660006241
1817,0.6214901991121788,0.5033722524210912,0.6212894526816025,0.5052665789609678,0.6224570974838695,0.4292698090011666,0.6229014227725563,0.43023745370482375,0.6033205717380136,0.37819739302169386,0.6034142806672024,0.38143337216150197,0.45219204194507057,0.330374774084334,0.45183995055035114,0.33199856040491,-0.0009668983716906165,0.07410244341992456,-0.0016119700909538182,0.07502912525614408,0.018169627374165276,0.12517485939939732,0.017875172014400142,0.12383320679946586,0.16929815716710828,0.17299747833675716,0.16944950213125137,0.17326801855605783
1818,0.6204829628644398,0.48632171494143434,0.62108273188857,0.48871889709860156,0.640620431262047,0.46505598967160816,0.6404354348677725,0.4639130693525518,0.6158371831850062,0.40130601495511764,0.6167268624423281,0.4041831126979754,0.4447398708766721,0.31974275565118565,0.44582139640973334,0.32411347182927636,-0.020137468397607217,0.021265725269826175,-0.019352702979202552,0.02480582774604978,0.0046457796794335815,0.0850156999863167,0.004355869446241889,0.08453578440062615,0.17574309198776772,0.16657895929024868,0.17526133547883666,0.1646054252693252
