rep,safetta_pooled_auroc,ccd_pooled_auroc,delta_safetta_minus_ccd_pooled_auroc,safetta_pooled_auprc,ccd_pooled_auprc,delta_safetta_minus_ccd_pooled_auprc,safetta_macro2_auroc,ccd_macro2_auroc,delta_safetta_minus_ccd_macro2_auroc,safetta_macro2_auprc,ccd_macro2_auprc,delta_safetta_minus_ccd_macro2_auprc
630,0.7013608255104475,0.654531897741141,0.04682892776930658,0.6377341669455581,0.5129590550275557,0.12477511191800239,0.7038805497270356,0.6587578244371526,0.04512272528988304,0.6410110330788399,0.5188866409394726,0.12212439213936732
631,0.6613020998957627,0.6481057726222895,0.013196327273473196,0.5961175654321437,0.5065266279956302,0.08959093743651347,0.6632884926168925,0.6527117124396924,0.010576780177200096,0.6004245982360361,0.5128828083134727,0.08754178992256345
632,0.6943383631289248,0.6400371369137782,0.05430122621514666,0.6227694823587854,0.4984782936941492,0.12429118866463618,0.6974546285517913,0.6438357818094017,0.05361884674238959,0.6262558702091069,0.5038064857599655,0.12244938444914144
633,0.6756841807828479,0.6565042169051497,0.01917996387769816,0.6320185199784734,0.5375971633633854,0.09442135661508799,0.6780854954940005,0.6614543874994095,0.016631107994591,0.636791147366383,0.5459837096038823,0.09080743776250066
634,0.6357862086762343,0.657038883799655,-0.021252675123420772,0.5724003743337074,0.5318649508783173,0.040535423455390074,0.6358594548304359,0.6623094935511635,-0.026450038720727598,0.5767666710775315,0.5389671743703228,0.037799496707208724
635,0.6800125214985936,0.6475558466354049,0.032456674863188706,0.6432077599037131,0.523428887518746,0.1197788723849671,0.6834515466126789,0.6520154881232012,0.031436058489477725,0.6476493344429235,0.5283706740780912,0.11927866036483226
636,0.6621181587466638,0.6426705624603335,0.019447596286330304,0.5995748222274121,0.5171002751452285,0.0824745470821836,0.6647603642372196,0.6471534011117501,0.0176069631254695,0.6049749604419092,0.5238140519283077,0.08116090851360158
637,0.6849710142655077,0.6376891140944101,0.04728190017109757,0.6375236039124854,0.49982163502755317,0.13770196888493225,0.6889138240817225,0.6424361600397334,0.046477664041989164,0.6431766535802125,0.5062803836311578,0.13689626994905468
638,0.6770577373835893,0.6311653957179713,0.045892341665618064,0.6097897867632461,0.48901801436910575,0.12077177239414039,0.6804697778405389,0.6346618857338728,0.045807892106666026,0.613082960673577,0.49462432651908855,0.11845863415448848
639,0.6655983382139138,0.6479246816660662,0.017673656547847583,0.6112885590952273,0.5138804525818341,0.09740810651339316,0.6678545778092372,0.6552415351221474,0.012613042687089737,0.6156045054361394,0.5242958034626997,0.09130870197343977
640,0.6728253971071867,0.6351773889065794,0.03764800820060732,0.6157823159814328,0.5064091712906241,0.10937314469080872,0.6765165806464832,0.6407478250134417,0.035768755633041494,0.6207274777584962,0.513301552135596,0.10742592562290021
641,0.6550919082423148,0.6355924469237477,0.019499461318567057,0.5994598520988539,0.5104038494893091,0.08905600260954483,0.6567043610655039,0.6405947376211676,0.016109623444336307,0.6036689591670061,0.5185235858186228,0.08514537334838335
642,0.6635906385739028,0.6530490697990893,0.010541568774813492,0.6225980353949332,0.5339195585063541,0.0886784768885791,0.6666227283690971,0.6578795603862555,0.008743167982841582,0.6265129131450428,0.5401666160531262,0.08634629709191655
643,0.669630411001719,0.6593612527348024,0.010269158266916656,0.6198299598436657,0.5344773736915561,0.08535258615210961,0.6712732661701046,0.6626789114739026,0.008594354696202067,0.6229467361733514,0.5402777647716948,0.08266897140165663
644,0.665490451647111,0.6499456851374679,0.015544766509643093,0.6034522747747305,0.5148859756345124,0.08856629914021807,0.6670939632207117,0.6539212151413267,0.013172748079384955,0.6062764577284543,0.5199950115720458,0.08628144615640854
645,0.6761104469722801,0.6354538533061105,0.04065659366616958,0.6140732520740018,0.49895576436155414,0.11511748771244762,0.6784099472142322,0.6389979925063349,0.03941195470789727,0.6181338281158155,0.5041524603218344,0.11398136779398116
646,0.6708136217234208,0.6475909296151163,0.02322269210830452,0.6173404035914805,0.5145563800190359,0.10278402357244454,0.6717012376616369,0.6512340109668866,0.020467226694750318,0.6203092745470874,0.5207015846753753,0.09960768987171209
647,0.6554175636699382,0.6273292065309408,0.028088357138997377,0.6071825326359624,0.5034919971693719,0.10369053546659057,0.6573116471764711,0.6314502215090736,0.025861425667397464,0.610054624789262,0.5095244567094283,0.10053016807983373
648,0.6718600705639232,0.6397944390406543,0.03206563152326891,0.6158499176364725,0.5044775795105876,0.11137233812588487,0.6744748500952302,0.645606921975943,0.02886792811928718,0.6188613137346961,0.5120631639528421,0.10679814978185398
649,0.6761783821847567,0.6474423499267935,0.028736032257963173,0.6089755178719167,0.5072440160997491,0.10173150177216761,0.6778973534191541,0.6513235269870725,0.026573826432081615,0.6121610889762705,0.5124216653016629,0.09973942367460764
650,0.6771050028552782,0.6492866560064384,0.02781834684883977,0.6223881163121824,0.5136530185807822,0.10873509773140022,0.6798144231426719,0.6543619655568857,0.02545245758578618,0.6281805702804599,0.521130371971223,0.1070501983092369
651,0.6756240472401027,0.6388071931483574,0.03681685409174529,0.6272046773571558,0.509241190078632,0.1179634872785238,0.6786783916255247,0.6447350735395145,0.033943318086010144,0.6302390576903665,0.5153526426394048,0.11488641505096164
652,0.6661984600825333,0.6375115085013808,0.02868695158115242,0.5963289221543375,0.49697305057226215,0.09935587158207537,0.6672700813210402,0.6421583637335815,0.02511171758745867,0.5997341359761996,0.5036362905837422,0.09609784539245747
653,0.667808061726792,0.6513935514168595,0.016414510309932462,0.5980863619422166,0.5089178997002755,0.0891684622419412,0.670337863878703,0.655837316211336,0.01450054766736697,0.6024780878556608,0.5149470460478778,0.08753104180778304
