rep,safe_prevented_harm_fraction,random_prevented_harm_fraction,delta_prevented_harm_fraction,safe_mean_slice_deployed_dice,random_mean_slice_deployed_dice,delta_mean_slice_deployed_dice,safe_mean_patient_3d_deployed_dice,random_mean_patient_3d_deployed_dice,delta_mean_patient_3d_deployed_dice
1718,0.8768882175226587,0.8216012084592146,0.05528700906344408,0.6538071040251574,0.627272856570239,0.02653424745491839,0.7428532379580893,0.7413488256847988,0.0015044122732905674
1719,0.8977556109725686,0.8258520365752287,0.07190357439733996,0.6418027306406909,0.6165655913063534,0.025237139334337577,0.7454395273208174,0.7453534082430793,8.611907773814487e-05
1720,0.9132856006364359,0.8425616547334924,0.07072394590294351,0.6783500279328682,0.6547704216800729,0.023579606252795315,0.7801193841220129,0.780445644900328,-0.0003262607783151017
1721,0.9040125885129819,0.8269079464988198,0.07710464201416212,0.6615388665450028,0.6375811086326244,0.02395775791237842,0.7496807015740684,0.7493611255697957,0.0003195760042726814
1722,0.8984149855907781,0.8469740634005765,0.05144092219020169,0.6484527263804509,0.6260432028610419,0.022409523519409058,0.7261327882461387,0.72905009526606,-0.0029173070199213225
1723,0.9241819632881085,0.8367916999201916,0.08739026336791689,0.6514643470285508,0.6279004186334123,0.023563928395138545,0.7251400733498515,0.7249526455211625,0.0001874278286890796
1724,0.9164882226980728,0.857673090649536,0.05881513204853683,0.6477836179989228,0.6249088178755334,0.022874800123389383,0.7159968021975247,0.7171891612531399,-0.0011923590556152108
1725,0.914179104477612,0.8398507462686566,0.07432835820895534,0.6678629186957855,0.6436804977078323,0.0241824209879532,0.7579390635378304,0.7565633075642731,0.0013757559735572134
1726,0.9011075949367089,0.8295886075949367,0.0715189873417722,0.6647924540148916,0.641758778945235,0.02303367506965659,0.753820768077238,0.7563778109397232,-0.0025570428624852592
1727,0.9127358490566038,0.8307389937106919,0.08199685534591183,0.6537552192349828,0.6273463850575188,0.02640883417746398,0.7328564497046903,0.7327975950857608,5.885461892951582e-05
1728,0.920075519194462,0.8676526117054753,0.0524229074889867,0.649120179820976,0.6289290858222734,0.02019109399870267,0.7295251815951925,0.7290105675257476,0.0005146140694449741
1729,0.9136690647482014,0.8501438848920863,0.06352517985611517,0.6416043422915213,0.6171196293806145,0.024484712910906814,0.7306856808668846,0.7313538346696666,-0.0006681538027820677
1730,0.8926223520818115,0.8260774287801315,0.06654492330168005,0.6501360941437261,0.62456948625605,0.025566607887676063,0.7365202681467798,0.736575019665906,-5.4751519126150505e-05
1731,0.9356890459363958,0.8779505300353356,0.05773851590106016,0.6517990604915044,0.6313316612446206,0.02046739924688379,0.7481848305337674,0.7485529036613817,-0.0003680731276143323
1732,0.9231360491929285,0.8252113758647195,0.09792467332820898,0.6409392073401166,0.6100431121531026,0.030896095187013972,0.7272281283220514,0.7222702189030279,0.004957909419023521
1733,0.9161425576519916,0.842208245981831,0.07393431167016062,0.6663183016201114,0.6409042340977229,0.025414067522388506,0.757069852816186,0.7555318836765021,0.001537969139683848
1734,0.8915569326103796,0.8343919442292798,0.057164988381099846,0.6529309261807037,0.629999307513583,0.02293161866712068,0.7406069148939025,0.7434053895832977,-0.002798474689395203
