replicate,scope,score,auroc,auprc,valid_strata
30,OVERALL,CHANGE_MAGNITUDE_ONLY,0.48335079542854387,0.36533675460239334,
30,OVERALL,CHANGE_MAGNITUDE_IOU_ONLY,0.48335079542854387,0.36533675460239334,
31,OVERALL,SOURCE_STATE,0.5066527010728116,0.32491034560087634,
31,OVERALL,SOURCE_PLUS_SIMPLE_MASK_CHANGE,0.46942169745445317,0.30783621788170695,
31,OVERALL,FROZEN_FULL_TRANSITION_SAFETTA,0.6287056433695168,0.41429823810094407,
31,OVERALL,CHANGE_MAGNITUDE_ONLY,0.4928426331492414,0.3295719403573595,
31,OVERALL,CHANGE_MAGNITUDE_IOU_ONLY,0.4928426331492414,0.3295719403573595,
32,OVERALL,SOURCE_STATE,0.5426152465520498,0.3959943370921677,
32,OVERALL,SOURCE_PLUS_SIMPLE_MASK_CHANGE,0.5195836482146231,0.40384363059759176,
32,OVERALL,FROZEN_FULL_TRANSITION_SAFETTA,0.655234507840544,0.5236330224226917,
32,OVERALL,CHANGE_MAGNITUDE_ONLY,0.5308839505006613,0.41818230707914683,
32,OVERALL,CHANGE_MAGNITUDE_IOU_ONLY,0.5308839505006613,0.41818230707914683,
33,OVERALL,SOURCE_STATE,0.5408668536149361,0.3810912245617464,
33,OVERALL,SOURCE_PLUS_SIMPLE_MASK_CHANGE,0.4753873655714391,0.3329233510543848,
33,OVERALL,FROZEN_FULL_TRANSITION_SAFETTA,0.6621738162005335,0.4678854372235046,
33,OVERALL,CHANGE_MAGNITUDE_ONLY,0.44934977412003907,0.33579392276961756,
33,OVERALL,CHANGE_MAGNITUDE_IOU_ONLY,0.44934977412003907,0.33579392276961756,
34,OVERALL,SOURCE_STATE,0.5102851528890571,0.3337101939332612,
34,OVERALL,SOURCE_PLUS_SIMPLE_MASK_CHANGE,0.484564642994441,0.3152746262649222,
34,OVERALL,FROZEN_FULL_TRANSITION_SAFETTA,0.6550888776338352,0.4706898638956887,
34,OVERALL,CHANGE_MAGNITUDE_ONLY,0.47499649127089216,0.3317805142207587,
34,OVERALL,CHANGE_MAGNITUDE_IOU_ONLY,0.47499649127089216,0.3317805142207587,
35,OVERALL,SOURCE_STATE,0.5750735146497868,0.3715444711224139,
35,OVERALL,SOURCE_PLUS_SIMPLE_MASK_CHANGE,0.5290043341167022,0.35294926692863915,
35,OVERALL,FROZEN_FULL_TRANSITION_SAFETTA,0.646698631269412,0.44603332964484044,
35,OVERALL,CHANGE_MAGNITUDE_ONLY,0.4829528679570604,0.3199020475046749,
35,OVERALL,CHANGE_MAGNITUDE_IOU_ONLY,0.4829528679570604,0.3199020475046749,
36,OVERALL,SOURCE_STATE,0.5531000109541023,0.44429939615213204,
36,OVERALL,SOURCE_PLUS_SIMPLE_MASK_CHANGE,0.5065505531821668,0.42765265651685863,
36,OVERALL,FROZEN_FULL_TRANSITION_SAFETTA,0.6639062328842151,0.5546717179770315,
36,OVERALL,CHANGE_MAGNITUDE_ONLY,0.48351955307262573,0.40732977649991653,
36,OVERALL,CHANGE_MAGNITUDE_IOU_ONLY,0.48351955307262573,0.40732977649991653,
37,OVERALL,SOURCE_STATE,0.5463239240098744,0.39035967592569987,
37,OVERALL,SOURCE_PLUS_SIMPLE_MASK_CHANGE,0.4597992916174734,0.3260288824684746,
37,OVERALL,FROZEN_FULL_TRANSITION_SAFETTA,0.6715251690458303,0.5067654871097341,
