path,relpath,size_bytes,sha256,suffix,category,syntax_ok,route_tokens
F:\MEDSEG_SAFETTA\outputs\Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1\CM3_SegFormer_B0_OOF_MASK_U8.npy,outputs\Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1\CM3_SegFormer_B0_OOF_MASK_U8.npy,440231040,0906bc4ceac5fda701bbd9718250b74fa277dd2803f758b91fad52c8da74cd43,.npy,route_binary_or_large_artifact,,Q1X_CM3_
F:\MEDSEG_SAFETTA\outputs\Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1\CM3_SegFormer_B0_OOF_PROB_F16.npy,outputs\Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1\CM3_SegFormer_B0_OOF_PROB_F16.npy,880461952,f77e2a47e8b7111a5071df4191241b079572c6f171ce487cdb7ed614dd9b02fc,.npy,route_binary_or_large_artifact,,Q1X_CM3_
F:\MEDSEG_SAFETTA\outputs\Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1\CM3_UNet_OOF_MASK_U8.npy,outputs\Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1\CM3_UNet_OOF_MASK_U8.npy,440231040,13edb82f4b3b22aefee0fbcc61bbf8c1cf4bc818e6a19e7b95d91fc5fa8dea2f,.npy,route_binary_or_large_artifact,,Q1X_CM3_
F:\MEDSEG_SAFETTA\outputs\Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1\CM3_UNet_OOF_PROB_F16.npy,outputs\Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1\CM3_UNet_OOF_PROB_F16.npy,880461952,2515e3dee25db39c25bc50ee05258eb67fa76f4abd9fb52863116b7c269319cb,.npy,route_binary_or_large_artifact,,Q1X_CM3_
F:\MEDSEG_SAFETTA\outputs\Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1\models\DeepLabV3_R50\fold0\best.pt,outputs\Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1\models\DeepLabV3_R50\fold0\best.pt,158866260,b92e3034aef9e56214a8d46b9ea48109f48a689a17bdc6caac561a1f1397316a,.pt,route_binary_or_large_artifact,,Q1X_CM3_
F:\MEDSEG_SAFETTA\outputs\Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1\models\DeepLabV3_R50\fold0\best_oof_mask_u8.npy,outputs\Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1\models\DeepLabV3_R50\fold0\best_oof_mask_u8.npy,89087104,5c5f47a3d43b0095c7981308bb57ba5b18d885e1d61b1a6a0fdb32878f691209,.npy,route_binary_or_large_artifact,,Q1X_CM3_
F:\MEDSEG_SAFETTA\outputs\Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1\models\DeepLabV3_R50\fold0\best_oof_prob_f16.npy,outputs\Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1\models\DeepLabV3_R50\fold0\best_oof_prob_f16.npy,178174080,425cd62d1b17b09cc93e1cd906bfe9ff8088888e4aa12179dbc94e23e9c71251,.npy,route_binary_or_large_artifact,,Q1X_CM3_
F:\MEDSEG_SAFETTA\outputs\Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1\models\DeepLabV3_R50\fold0\last.pt,outputs\Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1\models\DeepLabV3_R50\fold0\last.pt,476081120,852f0dd6e11536ac1ecb2d29975e854a272b6ac52272aa51289eacd1f1e8c971,.pt,route_binary_or_large_artifact,,Q1X_CM3_
F:\MEDSEG_SAFETTA\outputs\Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1\models\DeepLabV3_R50\fold1\best.pt,outputs\Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1\models\DeepLabV3_R50\fold1\best.pt,158866260,38b831f492c701981d06bfd0aa371befa34c063eee0bf744fe53511d1f59db47,.pt,route_binary_or_large_artifact,,Q1X_CM3_
F:\MEDSEG_SAFETTA\outputs\Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1\models\DeepLabV3_R50\fold1\best_oof_mask_u8.npy,outputs\Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1\models\DeepLabV3_R50\fold1\best_oof_mask_u8.npy,88839296,dc3622ade5d300f6c75dc8f55d61dd148b322c515073f8c67f5d16aa1e4e7c12,.npy,route_binary_or_large_artifact,,Q1X_CM3_
F:\MEDSEG_SAFETTA\outputs\Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1\models\DeepLabV3_R50\fold1\best_oof_prob_f16.npy,outputs\Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1\models\DeepLabV3_R50\fold1\best_oof_prob_f16.npy,177678464,b94396b7286ea3423989644bd7198eb872be279d7c5a6b6a00c97d1bf9c7eee8,.npy,route_binary_or_large_artifact,,Q1X_CM3_
F:\MEDSEG_SAFETTA\outputs\Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1\models\DeepLabV3_R50\fold1\last.pt,outputs\Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1\models\DeepLabV3_R50\fold1\last.pt,476082528,26813433cf6aa9d2a9260c14b5c3eb134ae28696caadb67b77d5ea1fdccfd2c6,.pt,route_binary_or_large_artifact,,Q1X_CM3_
F:\MEDSEG_SAFETTA\outputs\Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1\models\DeepLabV3_R50\fold2\best.pt,outputs\Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1\models\DeepLabV3_R50\fold2\best.pt,158866260,21cd5b8b5fc0ca55e5fd73885977b18060cdfb2284d4607e34eed7c92d07e50e,.pt,route_binary_or_large_artifact,,Q1X_CM3_
F:\MEDSEG_SAFETTA\outputs\Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1\models\DeepLabV3_R50\fold2\best_oof_mask_u8.npy,outputs\Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1\models\DeepLabV3_R50\fold2\best_oof_mask_u8.npy,89582720,8f3bfe6d2ed908c50604680ac38f26d1ebd4e58f0370357aaefe43f6fca854cd,.npy,route_binary_or_large_artifact,,Q1X_CM3_
F:\MEDSEG_SAFETTA\outputs\Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1\models\DeepLabV3_R50\fold2\best_oof_prob_f16.npy,outputs\Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1\models\DeepLabV3_R50\fold2\best_oof_prob_f16.npy,179165312,651693b881fcf77a2fffb5d50af0a3a8f5ffffe86b74bb8c65e4d0822192c1ca,.npy,route_binary_or_large_artifact,,Q1X_CM3_
