setting,policy,requested_coverage,adaptation_coverage,adapted_rows,total_rows,harm_rate_among_adapted,benefit_rate_among_adapted,prevented_harm_fraction,withheld_benefit_fraction,mean_deployed_dice,median_deployed_dice,mean_delta_vs_source,mean_delta_vs_adapt_all,source_mean_dice,adapt_all_mean_dice,total_harm_rows,total_benefit_rows,adapted_harm_rows,adapted_benefit_rows
PolypGen_TENT1,RISK_RANKED,0.0,0.0,0,13788,,,1.0,1.0,0.7455647892300361,0.9126388471930352,0.0,0.08440333887525897,0.7455647892300361,0.6611614503547771,4695,1981,0,0
SUN_TENT1,RISK_RANKED,1.0,1.0,8820,8820,0.22585034013605443,0.2897959183673469,0.0,0.0,0.7263974611281064,0.8830539676387947,0.03938904996454773,0.0,0.6870084111635587,0.7263974611281064,1992,2556,1992,2556
SUN_TENT1,RISK_RANKED,0.9,0.9,7938,8820,0.20735701688082642,0.29402872260015117,0.17369477911646586,0.08685446009389672,0.7317445341682801,0.8872353703614805,0.044736123004721406,0.005347073040173678,0.6870084111635587,0.7263974611281064,1992,2556,1646,2334
SUN_TENT1,RISK_RANKED,0.8,0.8,7056,8820,0.18820861678004536,0.290391156462585,0.3333333333333333,0.1983568075117371,0.73259452539718,0.8887261073595055,0.045586114233621244,0.006197064269073516,0.6870084111635587,0.7263974611281064,1992,2556,1328,2049
SUN_TENT1,RISK_RANKED,0.7,0.7,6174,8820,0.17071590540978296,0.2894395853579527,0.4708835341365462,0.3008607198748044,0.7310959407256297,0.8886529406333672,0.04408752956207096,0.004698479597523231,0.6870084111635587,0.7263974611281064,1992,2556,1054,1787
SUN_TENT1,RISK_RANKED,0.6,0.6,5292,8820,0.15230536659108088,0.28741496598639454,0.5953815261044176,0.40492957746478875,0.7304565487788204,0.8889683532987663,0.04344813761526167,0.004059087650713944,0.6870084111635587,0.7263974611281064,1992,2556,806,1521
SUN_TENT1,RISK_RANKED,0.5,0.5,4410,8820,0.13854875283446713,0.2927437641723356,0.6932730923694779,0.49491392801251954,0.7284174802574742,0.8880345987506006,0.04140906909391551,0.0020200191293677783,0.6870084111635587,0.7263974611281064,1992,2556,611,1291
SUN_TENT1,RISK_RANKED,0.4,0.4,3528,8820,0.11507936507936507,0.31746031746031744,0.7961847389558233,0.5618153364632238,0.7287306311421735,0.8882002383790226,0.041722219978614805,0.0023331700140670764,0.6870084111635587,0.7263974611281064,1992,2556,406,1120
SUN_TENT1,RISK_RANKED,0.3,0.3,2646,8820,0.08956916099773243,0.3654572940287226,0.8810240963855421,0.6216744913928013,0.7294031227788367,0.8887687525341262,0.04239471161527797,0.0030056616507302403,0.6870084111635587,0.7263974611281064,1992,2556,237,967
SUN_TENT1,RISK_RANKED,0.2,0.2,1764,8820,0.07086167800453515,0.4812925170068027,0.9372489959839357,0.6678403755868545,0.7291494384006769,0.8896189224704336,0.04214102723711821,0.0027519772725704827,0.6870084111635587,0.7263974611281064,1992,2556,125,849
SUN_TENT1,RISK_RANKED,0.1,0.1,882,8820,0.0045351473922902496,0.6961451247165533,0.9979919678714859,0.7597809076682316,0.7189488115268761,0.8912748364803159,0.031940400363317356,-0.007448649601230373,0.6870084111635587,0.7263974611281064,1992,2556,4,614
SUN_TENT1,RISK_RANKED,0.0,0.0,0,8820,,,1.0,1.0,0.6870084111635587,0.8879498761474574,0.0,-0.03938904996454773,0.6870084111635587,0.7263974611281064,1992,2556,0,0
SUN_PL_CONF90,RISK_RANKED,1.0,1.0,8820,8820,0.12052154195011337,0.1155328798185941,0.0,0.0,0.6899956861828027,0.8880407124681934,0.0029872750192440067,0.0,0.6870084111635587,0.6899956861828027,1063,1019,1063,1019
SUN_PL_CONF90,RISK_RANKED,0.9,0.9,7938,8820,0.12018140589569161,0.11312673217435122,0.10253998118532455,0.11874386653581943,0.6892563530693737,0.8877687003882032,0.0022479419058150096,-0.0007393331134289971,0.6870084111635587,0.6899956861828027,1063,1019,954,898
SUN_PL_CONF90,RISK_RANKED,0.8,0.8,7056,8820,0.10983560090702948,0.10147392290249434,0.270931326434619,0.29735034347399414,0.6891611715885123,0.8877012492484468,0.0021527604249536036,-0.0008345145942904031,0.6870084111635587,0.6899956861828027,1063,1019,775,716
SUN_PL_CONF90,RISK_RANKED,0.7,0.7,6174,8820,0.10301263362487852,0.08892128279883382,0.40169332079021636,0.46123650637880276,0.688647280146542,0.886748178337656,0.0016388689829832659,-0.0013484060362607408,0.6870084111635587,0.6899956861828027,1063,1019,636,549
SUN_PL_CONF90,RISK_RANKED,0.6,0.6,5292,8820,0.09089191232048376,0.07464096749811036,0.5475070555032926,0.6123650637880275,0.6883476109578917,0.8872566247276306,0.001339199794332946,-0.0016480752249110608,0.6870084111635587,0.6899956861828027,1063,1019,481,395
SUN_PL_CONF90,RISK_RANKED,0.5,0.5,4410,8820,0.0727891156462585,0.06349206349206349,0.6980244590780809,0.7252208047105005,0.6885131513326247,0.887085490415559,0.0015047401690659878,-0.001482534850178019,0.6870084111635587,0.6899956861828027,1063,1019,321,280
SUN_PL_CONF90,RISK_RANKED,0.4,0.4,3528,8820,0.0558390022675737,0.05102040816326531,0.8146754468485419,0.8233562315996075,0.6887572823389053,0.8869984763839512,0.0017488711753466113,-0.0012384038438973954,0.6870084111635587,0.6899956861828027,1063,1019,197,180
SUN_PL_CONF90,RISK_RANKED,0.3,0.3,2646,8820,0.03552532123960695,0.0400604686318972,0.9115710253998118,0.8959764474975466,0.6891369242037855,0.887593114415646,0.002128513040226765,-0.0008587619790172418,0.6870084111635587,0.6899956861828027,1063,1019,94,106
SUN_PL_CONF90,RISK_RANKED,0.2,0.2,1764,8820,0.01417233560090703,0.04195011337868481,0.9764816556914393,0.9273797841020608,0.6894266487278211,0.8880345987506006,0.0024182375642624043,-0.0005690374549816024,0.6870084111635587,0.6899956861828027,1063,1019,25,74
SUN_PL_CONF90,RISK_RANKED,0.1,0.1,882,8820,0.0,0.048752834467120185,1.0,0.957801766437684,0.68884848438496,0.8880345987506006,0.0018400732214013393,-0.0011472017978426674,0.6870084111635587,0.6899956861828027,1063,1019,0,43
SUN_PL_CONF90,RISK_RANKED,0.0,0.0,0,8820,,,1.0,1.0,0.6870084111635587,0.8879498761474574,0.0,-0.0029872750192440067,0.6870084111635587,0.6899956861828027,1063,1019,0,0
