setting,policy,requested_coverage,metric,bootstrap_valid,bootstrap_mean_delta,ci95_low,ci95_high
PolypGen_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.3,harm_rate_among_adapted,2000,-0.1117202843388611,-0.13352561712340336,-0.08925384827105565
PolypGen_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.3,benefit_rate_among_adapted,2000,0.019201786804492905,0.004994168744272906,0.03299527341073643
PolypGen_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.3,prevented_harm_fraction,2000,0.0984428825538322,0.07838702611499287,0.117150774873194
PolypGen_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.3,withheld_benefit_fraction,2000,-0.0400180627994109,-0.0682179010373475,-0.010711307638417523
PolypGen_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.3,mean_deployed_dice,2000,-0.000495441353272111,-0.005838894099098738,0.004607792738560466
PolypGen_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.3,mean_delta_vs_source,2000,-0.0004954413532721106,-0.005838894099098734,0.0046077927385604605
PolypGen_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.3,mean_delta_vs_adapt_all,2000,-0.000495441353272111,-0.005838894099098738,0.004607792738560466
PolypGen_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.2,harm_rate_among_adapted,2000,-0.0739515605418675,-0.10563888515472984,-0.04130509751624784
PolypGen_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.2,benefit_rate_among_adapted,2000,0.03581378164489389,0.016223375972169895,0.054800026054963036
PolypGen_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.2,prevented_harm_fraction,2000,0.04344582710299197,0.024074998730709986,0.061848523493649755
PolypGen_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.2,withheld_benefit_fraction,2000,-0.04977489455209081,-0.07532741706406983,-0.02235621273820847
PolypGen_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.2,mean_deployed_dice,2000,-0.008160429432197034,-0.014038347767405614,-0.002846648957520922
PolypGen_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.2,mean_delta_vs_source,2000,-0.008160429432197034,-0.014038347767405614,-0.002846648957520869
PolypGen_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.2,mean_delta_vs_adapt_all,2000,-0.008160429432197034,-0.014038347767405614,-0.002846648957520922
PolypGen_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.1,harm_rate_among_adapted,2000,0.03679789558576123,-0.02014834525213776,0.09617785157738241
PolypGen_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.1,benefit_rate_among_adapted,2000,0.1575162834578018,0.11758861606386824,0.19766484366075485
PolypGen_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.1,prevented_harm_fraction,2000,-0.010815692853216841,-0.028569037766316353,0.005899788655089803
PolypGen_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.1,withheld_benefit_fraction,2000,-0.10953449227104445,-0.13533927505162605,-0.08359413002407089
PolypGen_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.1,mean_deployed_dice,2000,-0.01453108611768299,-0.02061974006934744,-0.008797814479221473
PolypGen_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.1,mean_delta_vs_source,2000,-0.014531086117682992,-0.020619740069347445,-0.008797814479221459
PolypGen_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.1,mean_delta_vs_adapt_all,2000,-0.01453108611768299,-0.02061974006934744,-0.008797814479221473
PolypGen_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.0,harm_rate_among_adapted,0,,,
PolypGen_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.0,benefit_rate_among_adapted,0,,,
PolypGen_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.0,prevented_harm_fraction,2000,0.0,0.0,0.0
PolypGen_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.0,withheld_benefit_fraction,2000,0.0,0.0,0.0
PolypGen_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.0,mean_deployed_dice,2000,0.0,0.0,0.0
PolypGen_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.0,mean_delta_vs_source,2000,0.0,0.0,0.0
PolypGen_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.0,mean_delta_vs_adapt_all,2000,0.0,0.0,0.0
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,1.0,harm_rate_among_adapted,2000,0.0,0.0,0.0
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,1.0,benefit_rate_among_adapted,2000,0.0,0.0,0.0
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,1.0,prevented_harm_fraction,2000,0.0,0.0,0.0
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,1.0,withheld_benefit_fraction,2000,0.0,0.0,0.0
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,1.0,mean_deployed_dice,2000,0.0,0.0,0.0
