setting,policy,requested_coverage,metric,selective_value,random_expected_value,delta
PolypGen_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.0,mean_deployed_dice,0.7455647892300361,0.7455647892300361,0.0
PolypGen_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.0,mean_delta_vs_source,0.0,-0.0,0.0
PolypGen_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.0,mean_delta_vs_adapt_all,0.08440333887525897,0.08440333887525897,0.0
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,1.0,harm_rate_among_adapted,0.22585034013605443,0.22585034013605443,0.0
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,1.0,benefit_rate_among_adapted,0.2897959183673469,0.2897959183673469,0.0
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,1.0,prevented_harm_fraction,0.0,0.0,0.0
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,1.0,withheld_benefit_fraction,0.0,0.0,0.0
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,1.0,mean_deployed_dice,0.7263974611281064,0.7263974611281064,0.0
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,1.0,mean_delta_vs_source,0.03938904996454773,0.03938904996454773,0.0
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,1.0,mean_delta_vs_adapt_all,0.0,0.0,0.0
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.9,harm_rate_among_adapted,0.20735701688082642,0.22585034013605443,-0.01849332325522801
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.9,benefit_rate_among_adapted,0.29402872260015117,0.2897959183673469,0.004232804232804255
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.9,prevented_harm_fraction,0.17369477911646586,0.09999999999999998,0.07369477911646588
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.9,withheld_benefit_fraction,0.08685446009389672,0.09999999999999998,-0.01314553990610326
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.9,mean_deployed_dice,0.7317445341682801,0.7224585561316517,0.00928597803662845
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.9,mean_delta_vs_source,0.044736123004721406,0.035450144968092956,0.00928597803662845
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.9,mean_delta_vs_adapt_all,0.005347073040173678,-0.003938904996454773,0.00928597803662845
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.8,harm_rate_among_adapted,0.18820861678004536,0.22585034013605443,-0.03764172335600907
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.8,benefit_rate_among_adapted,0.290391156462585,0.2897959183673469,0.0005952380952380931
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.8,prevented_harm_fraction,0.3333333333333333,0.19999999999999996,0.13333333333333336
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.8,withheld_benefit_fraction,0.1983568075117371,0.19999999999999996,-0.0016431924882628623
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.8,mean_deployed_dice,0.73259452539718,0.7185196511351969,0.014074874261983061
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.8,mean_delta_vs_source,0.045586114233621244,0.03151123997163818,0.014074874261983061
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.8,mean_delta_vs_adapt_all,0.006197064269073516,-0.007877809992909546,0.014074874261983061
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.7,harm_rate_among_adapted,0.17071590540978296,0.22585034013605443,-0.05513443472627147
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.7,benefit_rate_among_adapted,0.2894395853579527,0.2897959183673469,-0.0003563330093941941
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.7,prevented_harm_fraction,0.4708835341365462,0.30000000000000004,0.17088353413654617
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.7,withheld_benefit_fraction,0.3008607198748044,0.30000000000000004,0.0008607198748043499
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.7,mean_deployed_dice,0.7310959407256297,0.7145807461387421,0.01651519458688755
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.7,mean_delta_vs_source,0.04408752956207096,0.027572334975183407,0.016515194586887553
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.7,mean_delta_vs_adapt_all,0.004698479597523231,-0.011816714989364319,0.01651519458688755
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.6,harm_rate_among_adapted,0.15230536659108088,0.22585034013605443,-0.07354497354497355
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.6,benefit_rate_among_adapted,0.28741496598639454,0.2897959183673469,-0.0023809523809523725
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.6,prevented_harm_fraction,0.5953815261044176,0.4,0.1953815261044176
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.6,withheld_benefit_fraction,0.40492957746478875,0.4,0.004929577464788726
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.6,mean_deployed_dice,0.7304565487788204,0.7106418411422873,0.019814707636533035
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.6,mean_delta_vs_source,0.04344813761526167,0.023633429978728637,0.019814707636533035
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.6,mean_delta_vs_adapt_all,0.004059087650713944,-0.01575561998581909,0.019814707636533035
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.5,harm_rate_among_adapted,0.13854875283446713,0.22585034013605443,-0.0873015873015873
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.5,benefit_rate_among_adapted,0.2927437641723356,0.2897959183673469,0.0029478458049886913
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.5,prevented_harm_fraction,0.6932730923694779,0.5,0.19327309236947787
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.5,withheld_benefit_fraction,0.49491392801251954,0.5,-0.005086071987480456
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.5,mean_deployed_dice,0.7284174802574742,0.7067029361458326,0.021714544111641643
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.5,mean_delta_vs_source,0.04140906909391551,0.019694524982273864,0.021714544111641643
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.5,mean_delta_vs_adapt_all,0.0020200191293677783,-0.019694524982273864,0.021714544111641643
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.4,harm_rate_among_adapted,0.11507936507936507,0.22585034013605443,-0.11077097505668936
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.4,benefit_rate_among_adapted,0.31746031746031744,0.2897959183673469,0.027664399092970526
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.4,prevented_harm_fraction,0.7961847389558233,0.6,0.19618473895582333
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.4,withheld_benefit_fraction,0.5618153364632238,0.6,-0.03818466353677619
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.4,mean_deployed_dice,0.7287306311421735,0.7027640311493778,0.025966599992795714
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.4,mean_delta_vs_source,0.041722219978614805,0.01575561998581909,0.025966599992795714
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.4,mean_delta_vs_adapt_all,0.0023331700140670764,-0.023633429978728637,0.025966599992795714
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.3,harm_rate_among_adapted,0.08956916099773243,0.22585034013605443,-0.136281179138322
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.3,benefit_rate_among_adapted,0.3654572940287226,0.2897959183673469,0.07566137566137571
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.3,prevented_harm_fraction,0.8810240963855421,0.7,0.18102409638554218
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.3,withheld_benefit_fraction,0.6216744913928013,0.7,-0.07832550860719867
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.3,mean_deployed_dice,0.7294031227788367,0.698825126152923,0.03057799662591365
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.3,mean_delta_vs_source,0.04239471161527797,0.011816714989364319,0.03057799662591365
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.3,mean_delta_vs_adapt_all,0.0030056616507302403,-0.02757233497518341,0.03057799662591365
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.2,harm_rate_among_adapted,0.07086167800453515,0.22585034013605443,-0.1549886621315193
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.2,benefit_rate_among_adapted,0.4812925170068027,0.2897959183673469,0.19149659863945578
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.2,prevented_harm_fraction,0.9372489959839357,0.8,0.1372489959839357
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.2,withheld_benefit_fraction,0.6678403755868545,0.8,-0.13215962441314555
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.2,mean_deployed_dice,0.7291494384006769,0.6948862211564683,0.034263217244208666
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.2,mean_delta_vs_source,0.04214102723711821,0.007877809992909546,0.034263217244208666
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.2,mean_delta_vs_adapt_all,0.0027519772725704827,-0.03151123997163818,0.034263217244208666
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.1,harm_rate_among_adapted,0.0045351473922902496,0.22585034013605443,-0.22131519274376418
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.1,benefit_rate_among_adapted,0.6961451247165533,0.2897959183673469,0.4063492063492064
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.1,prevented_harm_fraction,0.9979919678714859,0.9,0.0979919678714859
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.1,withheld_benefit_fraction,0.7597809076682316,0.9,-0.14021909233176844
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.1,mean_deployed_dice,0.7189488115268761,0.6909473161600135,0.028001495366862583
SUN_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.1,mean_delta_vs_source,0.031940400363317356,0.003938904996454773,0.028001495366862583
