setting,policy,requested_coverage,metric,bootstrap_valid,bootstrap_mean,ci95_low,ci95_high
SUN_TENT1,RISK_RANKED,0.9,prevented_harm_fraction,2000,0.17382331804716591,0.14549185384136512,0.20543240312731836
SUN_TENT1,RISK_RANKED,0.9,withheld_benefit_fraction,2000,0.08985370431186916,0.06281118345461509,0.12008596307339621
SUN_TENT1,RISK_RANKED,0.9,mean_deployed_dice,2000,0.7303263222382914,0.6744569914168274,0.7825623188485069
SUN_TENT1,RISK_RANKED,0.9,median_deployed_dice,2000,0.8842648722688612,0.8406636013360668,0.9175949667527753
SUN_TENT1,RISK_RANKED,0.9,mean_delta_vs_source,2000,0.04463797446068534,0.02629946656161473,0.06362958277773241
SUN_TENT1,RISK_RANKED,0.9,mean_delta_vs_adapt_all,2000,0.004960114520300397,-0.002073856604527677,0.01102604855559785
SUN_TENT1,RISK_RANKED,0.8,harm_rate_among_adapted,2000,0.18776523526077096,0.1574511054421769,0.22250566893424037
SUN_TENT1,RISK_RANKED,0.8,benefit_rate_among_adapted,2000,0.2918472222222222,0.24489441609977325,0.340702947845805
SUN_TENT1,RISK_RANKED,0.8,prevented_harm_fraction,2000,0.33421877030780983,0.2930287374426826,0.38025581347449067
SUN_TENT1,RISK_RANKED,0.8,withheld_benefit_fraction,2000,0.19584403061182631,0.15276990487359918,0.23520537034930022
SUN_TENT1,RISK_RANKED,0.8,mean_deployed_dice,2000,0.731628096091149,0.6764494365254452,0.7842863730595504
SUN_TENT1,RISK_RANKED,0.8,median_deployed_dice,2000,0.8862060238324422,0.8426571476379051,0.9182897944153525
SUN_TENT1,RISK_RANKED,0.8,mean_delta_vs_source,2000,0.04593974831354295,0.029406993917195354,0.06336198073665758
SUN_TENT1,RISK_RANKED,0.8,mean_delta_vs_adapt_all,2000,0.006261888373158005,-0.003410170734907697,0.01592117842114247
SUN_TENT1,RISK_RANKED,0.7,harm_rate_among_adapted,2000,0.1709445254292193,0.13783203757693555,0.20619128603822479
SUN_TENT1,RISK_RANKED,0.7,benefit_rate_among_adapted,2000,0.29029850988014255,0.23954486556527374,0.3401360544217687
SUN_TENT1,RISK_RANKED,0.7,prevented_harm_fraction,2000,0.4698769235611455,0.422207439432572,0.5258440306252148
SUN_TENT1,RISK_RANKED,0.7,withheld_benefit_fraction,2000,0.3003346626301171,0.259471917508278,0.3435625542043164
SUN_TENT1,RISK_RANKED,0.7,mean_deployed_dice,2000,0.7301094448060704,0.6745035963515715,0.7835694260341899
SUN_TENT1,RISK_RANKED,0.7,median_deployed_dice,2000,0.8864585344604932,0.84404214275115,0.9178638271977663
SUN_TENT1,RISK_RANKED,0.7,mean_delta_vs_source,2000,0.044421097028464404,0.02877073037677997,0.059935867774934495
SUN_TENT1,RISK_RANKED,0.7,mean_delta_vs_adapt_all,2000,0.004743237088079465,-0.005758801158465346,0.016111522265714683
